class,precision,recall,f1-score,support
地域歧视,0.84,1.0,0.9130434782608695,21.0
基于文化背景的刻板印象(SCB),0.6666666666666666,0.3333333333333333,0.4444444444444444,6.0
宗教迷信,0.3333333333333333,0.5,0.4,2.0
微侵犯(MA),0.5454545454545454,0.8571428571428571,0.6666666666666666,7.0
性侵犯(SO),0.0,0.0,0.0,1.0
政治敏感,0.9473684210526315,0.9818181818181818,0.9642857142857143,55.0
犯罪,0.8,0.5,0.6153846153846154,8.0
种族歧视,1.0,0.9512195121951219,0.975,41.0
色情,0.9824561403508771,0.9491525423728814,0.9655172413793104,59.0
accuracy,0.915,0.915,0.915,0.915
macro avg,0.6794754563175616,0.6747407140958195,0.6604824622690689,200.0
weighted avg,0.9179751196172248,0.915,0.9110327741349106,200.0
